Serial Number,HW Description,Host Name
0937XFG027,SF X4275 3.5-inch ATO Model,
0937XFG029,SF X4275 3.5-inch ATO Model,
0938QAK001,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK002,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK003,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK004,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK005,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK006,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK007,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK008,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK009,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00A,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00B,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00C,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00D,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00E,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK00F,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK010,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK011,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK012,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK013,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK014,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK015,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK016,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK017,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK018,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK019,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK01B,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK01C,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK01D,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK01E,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK01F,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK020,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK021,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK022,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK023,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK024,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK025,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK026,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK027,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK028,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK029,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK02A,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK02B,"ASSY, ST4400-JBOD CHASSIS-RR",
0938QAK02C,"ASSY, ST4400-JBOD CHASSIS-RR",
0939AK20D3,SUNDC SWITCH IB-36P MANAGED,
0939AK20D4,SUNDC SWITCH IB-36P MANAGED,
0940XF50B8,Sun Fire X4170 - SF X4170 ATO Model,
0940XF50BB,Sun Fire X4170 - SF X4170 ATO Model,
0940XF50BC,Sun Fire X4170 - SF X4170 ATO Model,
0941AK2209,"ASSY,BASE CONFIG,M9",
0941AK220A,"ASSY,BASE CONFIG,M9",
0941AK220B,"ASSY,BASE CONFIG,M9",
0941XF700E,Sun Fire X4200 - SF X4270 ATO Model,
0941XF700F,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7010,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7011,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7012,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7013,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7014,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7015,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7016,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7017,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7018,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7019,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701A,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701B,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701C,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701D,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701E,Sun Fire X4200 - SF X4270 ATO Model,
0941XF701F,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7020,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7021,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7022,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7023,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7025,Sun Fire X4200 - SF X4270 ATO Model,
0941XF7028,Sun Fire X4200 - SF X4270 ATO Model,gopher2
0941XF702A,Sun Fire X4200 - SF X4270 ATO Model,
0942QAK005,"ASSY, ST4400-JBOD CHASSIS-RR",
0942QAK006,"ASSY, ST4400-JBOD CHASSIS-RR",
0942QAK007,"ASSY, ST4400-JBOD CHASSIS-RR",
0942QAK008,"ASSY, ST4400-JBOD CHASSIS-RR",
0943BD1AC0,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1AD0,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1AE0,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1AF0,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B00,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B10,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B20,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B30,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B40,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B50,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B60,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B70,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B80,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0943BD1B90,"ASSY,GEN2,SYS,W/MODULES,W/A231",
0947XF7035,SF X4270 ATO Model,unknown
2047RTN-0941RF0001,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0002,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0004,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0005,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0006,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0007,RACK 42U-1200 W/LIGHT DUTY PALLET,
2047RTN-0941RF0008,RACK 42U-1200 W/LIGHT DUTY PALLET,
0917AK219D,SunDC Switch 648 Model Class,
